,Date_mutation,valeur_fonciere,No_voie,Type_de_voie,Code_voie,Voie,Code_postal,Commune,Code_departement,Code_commune,Surface_Carrez_du_1er_lot,Nombre_pieces_principales,Surface_terrain
15377,09/11/2022,92000.0,125.0,AV,1470,FAIDHERBE,59300.0,VALENCIENNES,59,606,41.43,2.0,
15378,30/11/2022,76900.0,1.0,RUE,2630,DE LA RENAISSANCE,59400.0,CAMBRAI,59,122,,2.0,
15379,24/11/2022,44000.0,36.0,RES,A040,DU CHEMIN VERT,59131.0,ROUSIES,59,514,,3.0,
15380,25/11/2022,79600.0,9004.0,RES,A720,VAUBAN BAT B,59600.0,MAUBEUGE,59,392,,5.0,
15381,18/11/2022,89600.0,81.0,RUE,1194,DE LA DIGUE RESID RUBENS,59300.0,VALENCIENNES,59,606,,2.0,
15382,10/11/2022,275000.0,1.0,PL,1450,DE L ESPLANADE,59300.0,VALENCIENNES,59,606,,4.0,56.0
15383,10/11/2022,275000.0,1.0,PL,1450,DE L ESPLANADE,59300.0,VALENCIENNES,59,606,,3.0,56.0
15384,10/11/2022,275000.0,1.0,PL,1450,DE L ESPLANADE,59300.0,VALENCIENNES,59,606,,3.0,56.0
15385,10/11/2022,127600.0,2.0,RUE,1360,EMMANUEL REY,59300.0,VALENCIENNES,59,606,,4.0,
15386,24/11/2022,30000.0,1.0,,A532,IMM LE NICE RUE DE PROVENC,59600.0,MAUBEUGE,59,392,,4.0,
15387,16/11/2022,240000.0,55.0,RUE,0370,DE MONS,59440.0,AVESNES-SUR-HELPE,59,36,,3.0,169.0
15388,16/11/2022,240000.0,55.0,RUE,0370,DE MONS,59440.0,AVESNES-SUR-HELPE,59,36,,4.0,169.0
15389,16/11/2022,240000.0,55.0,RUE,0370,DE MONS,59440.0,AVESNES-SUR-HELPE,59,36,,1.0,169.0
15390,16/11/2022,52500.0,92.0,RUE,0260,ROGER SALENGRO,59300.0,FAMARS,59,221,,1.0,
15391,16/11/2022,105000.0,92.0,RUE,0260,ROGER SALENGRO,59300.0,FAMARS,59,221,17.81,1.0,
15392,02/11/2022,50000.0,15.0,RUE,0080,ARISTIDE BRIAND,59132.0,TRELON,59,601,,1.0,96.0
15393,02/11/2022,50000.0,15.0,RUE,0080,ARISTIDE BRIAND,59132.0,TRELON,59,601,,1.0,96.0
15394,02/11/2022,50000.0,15.0,RUE,0080,ARISTIDE BRIAND,59132.0,TRELON,59,601,,2.0,96.0
15395,02/11/2022,50000.0,15.0,RUE,0080,ARISTIDE BRIAND,59132.0,TRELON,59,601,,1.0,96.0
15396,02/11/2022,50000.0,15.0,RUE,0080,ARISTIDE BRIAND,59132.0,TRELON,59,601,,1.0,96.0
15397,02/11/2022,50000.0,15.0,RUE,0080,ARISTIDE BRIAND,59132.0,TRELON,59,601,,1.0,96.0
15398,25/11/2022,259000.0,,RUE,0885,DU COLLEGE,59300.0,VALENCIENNES,59,606,,,
15399,30/11/2022,305000.0,45.0,RUE,3040,DE SOLESMES,59400.0,CAMBRAI,59,122,,2.0,
15400,30/11/2022,305000.0,45.0,RUE,3040,DE SOLESMES,59400.0,CAMBRAI,59,122,,4.0,
15401,30/11/2022,305000.0,45.0,RUE,3040,DE SOLESMES,59400.0,CAMBRAI,59,122,,2.0,
15402,16/11/2022,223900.0,4.0,RUE,0130,DES ANGLAISES,59400.0,CAMBRAI,59,122,87.41,4.0,
15403,30/11/2022,82000.0,3.0,RES,A003,DU PARC CHEMIN DES NOYERS,59990.0,SAULTAIN,59,557,,2.0,
15404,18/11/2022,100000.0,23.0,RUE,3347,ROUGEVILLE RES SAINT ROCH,59300.0,VALENCIENNES,59,606,52.19,2.0,
15405,18/11/2022,173500.0,7.0,RUE,1290,EDMOND GUILLAUME,59300.0,VALENCIENNES,59,606,102.77,5.0,
15406,17/11/2022,102000.0,118.0,CHE,3150,DE PROUVY,59300.0,VALENCIENNES,59,606,,2.0,
15407,15/11/2022,44500.0,15.0,RUE,0350,FAIDHERBE,59410.0,ANZIN,59,14,21.38,1.0,
15408,14/11/2022,172000.0,6.0,,2732,RES VAL CLAIR R S LEBOUCQ,59300.0,VALENCIENNES,59,606,,5.0,
15409,10/11/2022,60000.0,51.0,AV,0340,PAUL GARDINAL,59920.0,QUIEVRECHAIN,59,484,46.77,2.0,
15410,02/12/2022,248362.0,4.0,RUE,0686,PIERRE BACHELET,59770.0,MARLY,59,383,18.98,1.0,
15411,02/12/2022,248362.0,4.0,RUE,0686,PIERRE BACHELET,59770.0,MARLY,59,383,23.82,1.0,
15412,02/12/2022,123192.0,4.0,RUE,0686,PIERRE BACHELET,59770.0,MARLY,59,383,19.15,1.0,
15413,30/11/2022,350000.0,7.0,RUE,0950,LEON GAMBETTA,59540.0,CAUDRY,59,139,,1.0,182.0
15414,30/11/2022,350000.0,7.0,RUE,0950,LEON GAMBETTA,59540.0,CAUDRY,59,139,,2.0,182.0
15415,30/11/2022,350000.0,7.0,RUE,0950,LEON GAMBETTA,59540.0,CAUDRY,59,139,,3.0,182.0
15416,30/11/2022,350000.0,7.0,RUE,0950,LEON GAMBETTA,59540.0,CAUDRY,59,139,,1.0,182.0
15417,30/11/2022,350000.0,7.0,RUE,0950,LEON GAMBETTA,59540.0,CAUDRY,59,139,,2.0,182.0
15418,21/11/2022,198000.0,68.0,RUE,0760,DE LA REPUBLIQUE,59360.0,LE CATEAU CAMBRESIS,59,136,,5.0,367.0
15419,21/11/2022,198000.0,68.0,RUE,0760,DE LA REPUBLIQUE,59360.0,LE CATEAU CAMBRESIS,59,136,,4.0,367.0
15420,21/11/2022,198000.0,68.0,RUE,0760,DE LA REPUBLIQUE,59360.0,LE CATEAU CAMBRESIS,59,136,,2.0,367.0
15421,21/11/2022,198000.0,68.0,RUE,0760,DE LA REPUBLIQUE,59360.0,LE CATEAU CAMBRESIS,59,136,,2.0,367.0
15422,24/11/2022,256000.0,,RUE,0885,DU COLLEGE,59300.0,VALENCIENNES,59,606,,4.0,
15423,17/11/2022,200000.0,43.0,RUE,0200,DU PETIT CANTON,59186.0,ANOR,59,12,,2.0,261.0
15424,28/11/2022,116000.0,46.0,PL,0260,D ARMES,59300.0,VALENCIENNES,59,606,,3.0,
15425,01/12/2022,30000.0,7.0,,A436,IMM LUXEMBOURG BD DE L EUR,59600.0,MAUBEUGE,59,392,,3.0,
15426,29/11/2022,72000.0,7.0,RUE,2890,ST LAZARE,59400.0,CAMBRAI,59,122,,3.0,
15427,22/11/2022,115000.0,17.0,CHE,0573,DU PRETRE,59125.0,TRITH-ST-LEGER,59,603,85.4,4.0,
15428,01/12/2022,55000.0,55.0,RUE,0220,JULES GALLOIS,59720.0,LOUVROIL,59,365,,2.0,
15429,29/11/2022,92000.0,491.0,RUE,0160,JEAN JAURES,59156.0,LOURCHES,59,361,,2.0,93.0
15430,29/11/2022,92000.0,491.0,RUE,0160,JEAN JAURES,59156.0,LOURCHES,59,361,,2.0,93.0
15431,23/11/2022,161800.0,76.0,AV,1773,GEORGES CLEMENCEAU,59300.0,VALENCIENNES,59,606,77.3,3.0,
15432,26/11/2022,122000.0,4.0,RUE,1170,DESIRE GERNEZ,59300.0,VALENCIENNES,59,606,53.24,3.0,
15433,06/12/2022,100000.0,19.0,RUE,0080,DE CLAIRFAYTS,59740.0,SOLRE LE CHATEAU,59,572,,2.0,114.0
15434,06/12/2022,100000.0,19.0,RUE,0080,DE CLAIRFAYTS,59740.0,SOLRE LE CHATEAU,59,572,,2.0,114.0
15435,01/12/2022,87500.0,81.0,RUE,1194,DE LA DIGUE RESID RUBENS,59300.0,VALENCIENNES,59,606,35.0,2.0,
15436,21/11/2022,73000.0,6.0,RUE,0350,DE LA GAITE,59360.0,LE CATEAU CAMBRESIS,59,136,,3.0,
15437,30/11/2022,69000.0,69.0,RUE,0260,ROGER SALENGRO,59300.0,FAMARS,59,221,31.05,2.0,
15438,14/11/2022,50000.0,15.0,RUE,0080,CAMBRESIENNE,59440.0,AVESNES-SUR-HELPE,59,36,,2.0,88.0
15439,15/11/2022,76400.0,9.0,RUE,0200,EMILE DUEE,59730.0,SOLESMES,59,571,,4.0,87.0
15440,15/11/2022,76400.0,9.0,RUE,0200,EMILE DUEE,59730.0,SOLESMES,59,571,,3.0,87.0
15441,10/11/2022,55000.0,12.0,AV,1354,FRANCOIS MITTERRAND,59400.0,CAMBRAI,59,122,,4.0,
15442,10/11/2022,125000.0,7.0,PL,2060,DU NEUF OCTOBRE,59400.0,CAMBRAI,59,122,93.4,5.0,
15443,10/11/2022,249698.0,4.0,RUE,0170,DE CAUMONT,59233.0,MAING,59,369,,2.0,485.0
15444,10/11/2022,249698.0,4.0,RUE,0170,DE CAUMONT,59233.0,MAING,59,369,,2.0,485.0
15445,10/11/2022,249698.0,4.0,RUE,0170,DE CAUMONT,59233.0,MAING,59,369,,2.0,485.0
15446,10/11/2022,249698.0,4.0,RUE,0170,DE CAUMONT,59233.0,MAING,59,369,,2.0,485.0
15447,10/11/2022,249698.0,4.0,RUE,0170,DE CAUMONT,59233.0,MAING,59,369,,2.0,485.0
15448,10/11/2022,249698.0,4.0,RUE,0170,DE CAUMONT,59233.0,MAING,59,369,,2.0,485.0
15449,25/11/2022,89000.0,106.0,RES,A105,CLOS CAFUS 106 AV J JAURES,59220.0,DENAIN,59,172,,3.0,
15450,18/11/2022,48999.85,3.0,RUE,0063,DES BESSEMERS,59300.0,AULNOY-LEZ-VALENCIENNES,59,32,19.32,1.0,
15451,28/11/2022,36500.0,54.0,QUAI,0295,DES MOUETTES,59158.0,MORTAGNE-DU-NORD,59,418,55.9,2.0,
15452,22/11/2022,80000.0,37.0,RUE,1130,DERRIERE LES MURS DE BAVAY,59300.0,VALENCIENNES,59,606,,2.0,49.0
15453,22/11/2022,80000.0,37.0,RUE,1130,DERRIERE LES MURS DE BAVAY,59300.0,VALENCIENNES,59,606,,1.0,49.0
15454,09/12/2022,187500.0,3081.0,,B017,GARDE DE WILLIES,59740.0,FELLERIES,59,226,,1.0,
15455,06/12/2022,81000.0,8.0,RUE,0570,DE L ENTREPOT,59610.0,FOURMIES,59,249,,2.0,180.0
15456,06/12/2022,81000.0,8.0,RUE,0570,DE L ENTREPOT,59610.0,FOURMIES,59,249,,2.0,180.0
15457,10/12/2022,130000.0,6.0,RUE,1780,GILIS,59300.0,VALENCIENNES,59,606,,2.0,165.0
15458,10/12/2022,130000.0,6.0,RUE,1780,GILIS,59300.0,VALENCIENNES,59,606,,2.0,165.0
15459,12/12/2022,92000.0,13.0,AV,2510,DU MARECHAL FOCH,59300.0,VALENCIENNES,59,606,,3.0,
15460,06/12/2022,77000.0,22.0,RES,A182,LE CLOS DE L'AVESNOIS,59600.0,MAUBEUGE,59,392,,3.0,
15461,17/11/2022,750000.0,10.0,BD,1690,FROISSART,59300.0,VALENCIENNES,59,606,50.76,2.0,
15462,17/11/2022,750000.0,10.0,BD,1690,FROISSART,59300.0,VALENCIENNES,59,606,46.72,2.0,
15463,17/11/2022,750000.0,10.0,BD,1690,FROISSART,59300.0,VALENCIENNES,59,606,45.51,2.0,
15464,17/11/2022,750000.0,10.0,BD,1690,FROISSART,59300.0,VALENCIENNES,59,606,57.49,2.0,
15465,17/11/2022,750000.0,10.0,BD,1690,FROISSART,59300.0,VALENCIENNES,59,606,65.6,3.0,
15466,17/11/2022,750000.0,10.0,BD,1690,FROISSART,59300.0,VALENCIENNES,59,606,36.98,1.0,
15467,17/11/2022,750000.0,10.0,BD,1690,FROISSART,59300.0,VALENCIENNES,59,606,83.09,3.0,
15468,17/11/2022,750000.0,10.0,BD,1690,FROISSART,59300.0,VALENCIENNES,59,606,68.46,3.0,
15469,17/11/2022,750000.0,10.0,BD,1690,FROISSART,59300.0,VALENCIENNES,59,606,56.84,3.0,
15470,07/12/2022,205000.0,19.0,RUE,2490,DU PRE D ESPAGNE,59400.0,CAMBRAI,59,122,,4.0,193.0
15471,12/12/2022,126800.0,52.0,RUE,1260,DURIN,59300.0,VALENCIENNES,59,606,61.46,3.0,
15472,12/12/2022,130000.0,3.0,RUE,3740,THOLOZE,59300.0,VALENCIENNES,59,606,,1.0,
15473,12/12/2022,130000.0,3.0,RUE,3740,THOLOZE,59300.0,VALENCIENNES,59,606,,1.0,
15474,12/12/2022,130000.0,3.0,RUE,3740,THOLOZE,59300.0,VALENCIENNES,59,606,,3.0,
15475,01/12/2022,50000.0,29.0,BD,1260,FAIDHERBE,59400.0,CAMBRAI,59,122,,2.0,
15476,07/12/2022,3024500.0,22.0,RUE,1650,DES FOULONS,59300.0,VALENCIENNES,59,606,,4.0,45.0
15477,07/12/2022,3024500.0,75.0,RUE,1480,DE FAMARS,59300.0,VALENCIENNES,59,606,,2.0,1373.0
15478,07/12/2022,3024500.0,75.0,RUE,1480,DE FAMARS,59300.0,VALENCIENNES,59,606,,2.0,1373.0
15479,07/12/2022,3024500.0,75.0,RUE,1480,DE FAMARS,59300.0,VALENCIENNES,59,606,,1.0,1373.0
15480,07/12/2022,3024500.0,75.0,RUE,1480,DE FAMARS,59300.0,VALENCIENNES,59,606,,1.0,1373.0
15481,07/12/2022,3024500.0,75.0,RUE,1480,DE FAMARS,59300.0,VALENCIENNES,59,606,,1.0,1373.0
15482,07/12/2022,3024500.0,75.0,RUE,1480,DE FAMARS,59300.0,VALENCIENNES,59,606,,2.0,1373.0
15483,07/12/2022,3024500.0,75.0,RUE,1480,DE FAMARS,59300.0,VALENCIENNES,59,606,,1.0,1373.0
15484,07/12/2022,3024500.0,75.0,RUE,1480,DE FAMARS,59300.0,VALENCIENNES,59,606,,1.0,1373.0
15485,07/12/2022,3024500.0,75.0,RUE,1480,DE FAMARS,59300.0,VALENCIENNES,59,606,,1.0,1373.0
15486,07/12/2022,3024500.0,75.0,RUE,1480,DE FAMARS,59300.0,VALENCIENNES,59,606,,2.0,1373.0
15487,07/12/2022,3024500.0,75.0,RUE,1480,DE FAMARS,59300.0,VALENCIENNES,59,606,,2.0,1373.0
15488,07/12/2022,3024500.0,75.0,RUE,1480,DE FAMARS,59300.0,VALENCIENNES,59,606,,1.0,1373.0
15489,07/12/2022,3024500.0,75.0,RUE,1480,DE FAMARS,59300.0,VALENCIENNES,59,606,,2.0,1373.0
15490,07/12/2022,3024500.0,75.0,RUE,1480,DE FAMARS,59300.0,VALENCIENNES,59,606,,2.0,1373.0
15491,07/12/2022,3024500.0,75.0,RUE,1480,DE FAMARS,59300.0,VALENCIENNES,59,606,,2.0,1373.0
15492,07/12/2022,3024500.0,75.0,RUE,1480,DE FAMARS,59300.0,VALENCIENNES,59,606,,2.0,1373.0
15493,07/12/2022,3024500.0,75.0,RUE,1480,DE FAMARS,59300.0,VALENCIENNES,59,606,,3.0,1373.0
